client_id,client_name,first_name,last_name,company_name,client_type,email,email_secondary,phone,phone_mobile,fax,address_line1,address_line2,city,state_province,postal_code,country,billing_address,created_on,modified_on,status,notes,credit_limit,payment_terms
CL-0056,DataFlow Ltd,,,DataFlow Ltd,corporation,legal@dataflowltd.com,,+1 466 216 9947,971-388-3213,(503) 354-8722,7567 Main St,Suite 678,San Diego,CA,92371,USA,,05-05-2022,03/11/23,suspended,,14721.74,Net 30
CL-0057,"Scott, Anthony",Anthony,Scott,,,anthony.scott@example.com,,851 591 3565,,,489 Park Way,Suite 880,El Paso,TX,44135,Canada,"489 Park Way, El Paso, TX 44135","February 02, 2018",,suspended,Legacy client record,29422.32,COD
CL-0058,SystemTech,,,SystemTech,corporation,legal@systemtech.com,,(337) 539-5722,+1-481-923-1793,,1577 Second Ave,,Columbus,OH,59925,France,,"June 26, 2021",2023-11-15,ACTIVE,,24593.8,30 days
CL-0059,"Evans, Karen",Karen,Evans,,person,karen.evans@example.com,,306 319 2955,+1 340 280 7100,,5618 Second Blvd,,Fort Worth,TX,35422,UK,,21/05/2020,06/22/23,active,,28389.2,COD
CL-0060,TechMaster LLC,,,TechMaster LLC,,legal@techmasterllc.com,,253-926-8599,000-000-0000,,4203 Oak Ave,Suite 147,Nashville,TN,61707,BR,"4203 Oak Ave, Nashville, TN 61707",21/04/2018,15/05/2023,ACTIVE,,34438.7,
CL-0061,NexGen Solutions Corp,,,NexGen Solutions Corp,,legal@nexgensolutionscorp.com,,+1 707 820 7008,,303 761 8892,9218 Washington Blvd,,Nashville,TN,82198,France,"9218 Washington Blvd, Nashville, TN 82198",03/07/19,2023/07/14,ACTIVE,Legacy client record,17799.32,COD
CL-0062,"Hernandez, Nancy",Nancy,Hernandez,,person,nancy.hernandez@example.com,,721.989.8441,,,3975 Park Way,,Albuquerque,NM,45090,India,,2020-02-24,09/02/23,inactive,,28453.06,
CL-0063,"Clark, Thomas",Thomas,Clark,,,thomas.clark@example.com,,1-560-202-1115,,,2915 Main Blvd,Suite 457,Nashville,TN,89776,BR,,03/09/2020,,inactive,,,15 days
CL-0064,InnovateNow,,,InnovateNow,,legal_at_innovatenow.com,,1-957-876-1683,+1 433 507 7897,,3739 Oak Blvd,Suite 978,Dallas,TX,47737,USA,,11-29-2022,04 August 2024,ACTIVE,,2387.37,Net 30
CL-0065,"Lewis, Betty",Betty,Lewis,,individual,betty.lewis@example.com,,240-980-9157,,,9595 Washington Blvd,,New York,NY,84986,Japan,,27/09/2018,,ACTIVE,Legacy client record,26927.99,COD
CL-0066,"Wilson, Sandra",Sandra,Wilson,,individual,sandra.wilson@example.com,,+1 419 217 9446,1-252-761-8932,,2743 Oak Ave,Suite 730,Oklahoma City,OK,52486,Brazil,,30/12/2019,,ACTIVE,Legacy client record,31209.3,15 days
CL-0067,SmartSystems,,,SmartSystems,company,legal@smartsystems.com,,+1 826 212 9819,,,3895 Main St,Suite 665,Austin,TX,78659,FR,,30/09/21,,suspended,,,
CL-0068,"Gonzalez, Charles",Charles,Gonzalez,,,charles.gonzalez@example.com,,279.845.4629,,,1038 Oak Way,,Houston,TX,21953,USA,"1038 Oak Way, Houston, TX 21953",30 September 2020,,,,1181.72,
CL-0069,Engineering Solutions,,,Engineering Solutions,,legal@engineeringsolutions.com,,+1 438 208 3341,659.296.5467,,4766 First Blvd,,Nashville,TN,76609,UK,,31/03/22,TBD,ACTIVE,Legacy client record,2242.68,Net 30
CL-0070,Lisa Martin,Lisa,Martin,,,,,838.750.6829,,,3013 Lincoln St,,Houston,TX,60846,Japan,,2021-05-16,,active,Legacy client record,15476.58,
CL-0071,GlobalTech,,,GlobalTech,corporation,legal@globaltech.com,,811.899.4623,639.956.7831,+1 292 221 4774,4203 First Ave,Suite 464,Baltimore,MD,34119,USA,"4203 First Ave, Baltimore, MD 34119",21 August 2022,03/06/2024,suspended,,16472.59,Net 30
CL-0072,AdvancedSoft,,,AdvancedSoft,corporation,legal_at_advancedsoft.com,,997 465 7842,(358) 530-3153,,2751 Park Blvd,Suite 517,San Antonio,TX,63568,United States,"2751 Park Blvd, San Antonio, TX 63568",,"May 22, 2024",inactive,Legacy client record,5832.73,
CL-0073,DataCore,,,DataCore,company,legal@datacore.com,,512.294.2729,+1-704-980-5196,,5479 Lincoln Blvd,Suite 316,Louisville,KY,34892,US,"5479 Lincoln Blvd, Louisville, KY 34892",29 November 2020,02 May 2023,Active,,8257.85,
CL-0074,NexGen Solutions Inc,,,NexGen Solutions Inc,company,legal@nexgensolutionsinc.com,,669-834-7777,882.354.8096,,6101 Second Way,,Baltimore,MD,42587,JP,,N/A,,ACTIVE,Legacy client record,,
CL-0075,Construction Tech LLC,,,Construction Tech LLC,corporation,legal@constructiontechllc.com,,948-338-4778,798 918 2324,,852 Park Ave,,Washington,DC,40754,BR,"852 Park Ave, Washington, DC 40754","May 01, 2020",,Active,,32499.52,
CL-0076,"Parker, Patricia",Patricia,Parker,,individual,patricia.parker@example.com,,748-227-4009,,,2207 Second Blvd,Suite 553,Jacksonville,FL,91995,UK,,06-19-2020,,inactive,Legacy client record,,
CL-0077,"Phillips, Jeffrey",Jeffrey,Phillips,,person,jeffrey.phillips@example.com,,1-544-529-8101,1-447-929-8222,,5300 Second Ave,Suite 335,Denver,CO,50146,US,,TBD,,inactive,,20492.3,COD
CL-0078,TechCorp,,,TechCorp,company,legal@techcorp.com,,958.812.9570,,,5663 Washington Ave,,Dallas,TX,57462,CN,"5663 Washington Ave, Dallas, TX 57462",28-11-2022,2024/05/12,inactive,,16881.3,
CL-0079,"Hernandez, Kenneth",Kenneth,Hernandez,,,kenneth.hernandez@example.com,,871-638-9178,,,3892 Second Dr,,San Francisco,CA,76419,India,,09-05-2018,2023/02/02,active,,,
CL-0080,Sarah Edwards,Sarah,Edwards,,person,sarah.edwards@example.com,,1-685-855-5364,(467) 203-9666,,2302 Main Ave,,Indianapolis,IN,70069,France,,06/11/2021,29/11/2023,active,,43538.55,COD
CL-0081,"White, John",John,White,,,john.white@example.com,,+1 852 494 3581,+1 214 830 8279,,4131 Lincoln Blvd,Suite 677,Dallas,TX,23240,China,,2021-04-30,29-04-2023,inactive,,2047.33,COD
CL-0082,"Moore, Ronald",Ronald,Moore,,,ronald.moore@example.com,,440-863-4439,,,1088 Second Ave,Suite 906,Detroit,MI,72196,China,"1088 Second Ave, Detroit, MI 72196",05-09-2021,04/02/2024,,,,30 days
CL-0083,Christopher Johnson,Christopher,Johnson,,individual,christopher.johnson@example.com,,(936) 244-2096,652 753 5653,,7074 Park Dr,,Milwaukee,WI,75379,JP,,"July 12, 2018",23/01/2023,suspended,,,
CL-0084,"King, Joseph",Joseph,King,,person,joseph.king@example.com,,621 672 7765,+1-693-430-5865,,7578 Park St,,Denver,CO,76122,GB,"7578 Park St, Denver, CO 76122",21-11-2018,,active,,,
CL-0085,William Reyes,William,Reyes,,person,william.reyes@example.com,,300.239.1352,1-292-625-2836,440.415.8782,6425 First Ave,Suite 977,Austin,TX,19475,Deutschland,"6425 First Ave, Austin, TX 19475",2019-09-01,24/12/2023,active,,,30 days
CL-0086,"Anderson, Helen",Helen,Anderson,,individual,helen.anderson@example.com,,+1-431-307-4657,,+1 523 949 9891,4998 Main Dr,,Columbus,OH,43527,GB,"4998 Main Dr, Columbus, OH 43527",15-12-2022,,suspended,Legacy client record,,
CL-0087,Betty Lee,Betty,Lee,,individual,betty.lee@example.com,,207-487-4024,(226) 251-4836,,6098 Second Way,,Detroit,MI,25969,Brazil,,"January 11, 2020",,ACTIVE,,5849.25,
CL-0088,Betty Anderson,Betty,Anderson,,person,betty.anderson@example.com,,(353) 600-4325,,,3696 Lincoln Dr,,Nashville,TN,78794,JP,,26/09/2018,2024-09-11,Active,,,30 days
CL-0089,DataGrid,,,DataGrid,company,legal@datagrid.com,,563.558.3087,+1 530 959 8386,,8647 Main St,Suite 468,Boston,MA,55310,Brazil,,Unknown,04/16/23,,,2076.65,
CL-0090,"Anderson, Richard",Richard,Anderson,,person,richard.anderson@example.com,,281 320 4131,,769-381-5770,3441 Oak Blvd,,Phoenix,AZ,72489,UK,,2023-10-18,03/05/2023,inactive,,,
CL-0091,"Sanchez, Thomas",Thomas,Sanchez,,,thomas.sanchez@example.com,,803-229-4417,697-469-1733,,8633 Second Ave,,Detroit,MI,93069,United Kingdom,,06/23/19,,,,29591.44,
CL-0092,"Allen, Jason",Jason,Allen,,person,jason.allen@example.com,,+1 836 900 7383,+1-445-241-7924,1-377-937-6953,4107 Lincoln Dr,Suite 993,Boston,MA,72540,AU,"4107 Lincoln Dr, Boston, MA 72540",26 May 2021,,ACTIVE,Legacy client record,17155.5,COD
CL-0093,"Anderson, Mary",Mary,Anderson,,,mary.anderson@example.com,,482.743.6042,,,1115 Second Blvd,,Las Vegas,NV,64799,GB,,08/09/20,15/12/23,,Legacy client record,,
CL-0094,"Edwards, Sharon",Sharon,Edwards,,person,,,830-398-4375,,,1456 Park Blvd,,Austin,TX,27804,BR,,"December 05, 2022",,inactive,Legacy client record,49220.5,30 days
CL-0095,"Phillips, Edward",Edward,Phillips,,person,,,558-833-4409,945 643 6228,,5803 Washington Ave,Suite 791,Oklahoma City,OK,18845,United Kingdom,"5803 Washington Ave, Oklahoma City, OK 18845",11-17-2022,27/02/23,ACTIVE,,,
CL-0096,"Scott, William",William,Scott,,person,william.scott@example.com,,+1 696 852 2692,,,58 Park Dr,,Baltimore,MD,58684,Canada,,2020-07-26,"August 12, 2023",,,48395.19,Net 30
CL-0097,"Anderson, Joseph",Joseph,Anderson,,individual,joseph.anderson@example.com,,935-654-5532,+1 445 690 9920,,1128 Main Dr,,Louisville,KY,95137,CA,,16/08/22,2024/01/22,,,46488.48,15 days
CL-0098,"Morales, Carol",Carol,Morales,,,carol.morales@example.com,,000-000-0000,,,9275 Washington Way,,Oklahoma City,OK,97361,Deutschland,,18/09/2020,17/01/24,,Legacy client record,,
CL-0099,InnovateCorp Ltd,,,InnovateCorp Ltd,,legal@innovatecorpltd.com,,1-238-351-1098,,,3324 Washington Way,Suite 928,Detroit,MI,19117,Australia,,2021/12/28,31/07/2023,active,,,
CL-0100,"Martinez, George",George,Martinez,,,george.martinez@example.com,,1-366-871-2137,+1-406-302-9303,,6878 Main Ave,,Fort Worth,TX,32757,CA,,23 June 2019,30/01/24,ACTIVE,Legacy client record,34650.07,
CL-0101,TechBase,,,TechBase,,legal@techbase.com,,(692) 944-4918,1-355-987-5001,,3399 Park St,,San Diego,CA,92358,United Kingdom,"3399 Park St, San Diego, CA 92358",2020-10-19,,inactive,Legacy client record,13416.91,
CL-0102,"Edwards, Robert",Robert,Edwards,,person,robert.edwards@example.com,,+1-921-702-7692,,,4593 First Ave,Suite 756,Denver,CO,39809,Canada,"4593 First Ave, Denver, CO 39809",06/20/21,TBD,ACTIVE,,16526.15,15 days
CL-0103,"Jones, Michelle",Michelle,Jones,,individual,michelle.jones@example.com,,N/A,+1 489 420 5342,,6474 Main Way,,Seattle,WA,58765,Germany,,27-05-2018,,,,16909.41,Net 30
CL-0104,Ronald Phillips,Ronald,Phillips,,individual,ronald.phillips@example.com,,792.351.3773,373.890.7104,,7187 Lincoln Way,,Nashville,TN,51225,US,,17-02-2021,00/00/0000,active,,,30 days
CL-0105,InfoSys Corp,,,InfoSys Corp,,legal@infosyscorp.com,,530 742 7356,,,6857 Second Dr,,Seattle,WA,43295,Japan,"6857 Second Dr, Seattle, WA 43295",10/02/20,2024/10/15,ACTIVE,,39386.71,
CL-0106,"Lopez, Richard",Richard,Lopez,,individual,richard.lopez@example.com,,231 301 7905,(350) 646-6482,,5288 First Blvd,,Columbus,OH,73605,China,,"March 15, 2020",2023-02-24,ACTIVE,,42253.77,
CL-0107,Andrew Nguyen,Andrew,Nguyen,,person,andrew.nguyen@example.com,,1-516-737-5905,,,6183 First Dr,,Nashville,TN,48068,Germany,,10/20/2023,"June 02, 2024",suspended,,31712.3,Net 30
CL-0108,DataGrid,,,DataGrid,company,legal@datagrid.com,,(857) 253-4717,1-588-320-9253,,1034 Oak Way,,Seattle,WA,51720,UK,,TBD,01 October 2023,ACTIVE,,38118.7,15 days
CL-0109,"Clark, Sharon",Sharon,Clark,,,sharon.clark@example.com,,512-511-2058,1-388-332-8606,,4073 Washington Dr,,Phoenix,AZ,44772,USA,,2021-10-28,11/08/24,ACTIVE,Legacy client record,46799.05,
CL-0110,"Edwards, Linda",Linda,Edwards,,individual,linda.edwards@example.com,,613 313 4058,,,7631 Oak Dr,,El Paso,TX,81224,India,"7631 Oak Dr, El Paso, TX 81224",2022-04-25,02/18/2023,suspended,,45301.89,
CL-0111,Ronald Hernandez,Ronald,Hernandez,,,ronald.hernandez@example.com,,,,,7859 Washington Blvd,Suite 287,Phoenix,AZ,79328,CA,,20/09/19,20/10/23,suspended,,,30 days
CL-0112,TechVision,,,TechVision,,legal@techvision.com,,+1-552-930-8265,+1 795 432 4419,,7994 Washington Dr,,Indianapolis,IN,57728,AU,"7994 Washington Dr, Indianapolis, IN 57728",16/08/21,"September 10, 2023",inactive,,2607.95,30 days
CL-0113,"Martinez, Steven",Steven,Martinez,,person,steven.martinez@example.com,,(779) 947-2327,896-635-6782,,4412 Washington St,,Columbus,OH,85773,Deutschland,"4412 Washington St, Columbus, OH 85773",21/06/2020,2024-04-20,Active,Legacy client record,,COD
CL-0114,"Lewis, Kevin",Kevin,Lewis,,,kevin.lewis@example.com,,+1-877-349-2786,+1-411-700-6000,,255 Main Blvd,Suite 871,Seattle,WA,78236,China,,12/26/19,06/26/23,inactive,,12548.65,
CL-0115,Jennifer Smith,Jennifer,Smith,,,,,871 511 1919,,,2715 Park St,Suite 962,Baltimore,MD,13092,FR,,01 November 2021,16/04/23,ACTIVE,,10605.92,
CL-0116,TechMaster Ltd,,,TechMaster Ltd,corporation,,,+1 377 772 5572,+1 474 519 4247,,3763 First St,Suite 173,Seattle,WA,66714,Australia,"3763 First St, Seattle, WA 66714",26-09-2018,,Active,,43905.29,COD
CL-0117,"Allen, Dorothy",Dorothy,Allen,,individual,dorothy.allen@example.com,,(207) 995-6479,(709) 645-8259,+1-699-824-7549,3853 Washington Dr,Suite 612,Portland,OR,88418,DE,,2019/03/13,19/11/23,inactive,,,15 days
CL-0118,Brian Diaz,Brian,Diaz,,individual,brian.diaz@example.com,,+1 902 662 3967,,230.920.7397,4569 Main Dr,,Baltimore,MD,96702,France,,05/09/2021,"February 20, 2024",,Legacy client record,48094.09,COD
CL-0119,"Thompson, Linda",Linda,Thompson,,individual,linda.thompson@example.com,,+1-575-721-8539,+1-631-642-3718,,6244 First Dr,,Baltimore,MD,34200,Canada,"6244 First Dr, Baltimore, MD 34200",10-21-2018,11/01/24,inactive,Legacy client record,,COD
CL-0120,Andrew Flores,Andrew,Flores,,individual,andrew.flores@example.com,,593.459.2289,+1 244 389 2028,1-302-209-3482,2411 Washington Blvd,Suite 556,San Antonio,TX,96434,DE,"2411 Washington Blvd, San Antonio, TX 96434",08/14/2020,02-13-2023,ACTIVE,,,
